Symbol,Price,3M_Ret,1W_Ret,Dist_10EMA,Is_Watchlist,Is_Breakout,MarketCap_Cr,Sector,RS_Score,Debt_Equity,Free_Float,QoQ_Sales,QoQ_EPS,Sector_Rank
CUPID.NS,289.88,142.33,10.38,12.47,False,False,38977.68,Consumer Defensive,140.4,0.13,29.1,29.0,23.1,1
VADILALIND.NS,7242.0,61.0,1.12,0.81,True,False,5189.61,Consumer Defensive,59.07,0.27,32.6,74.7,N/A,1
RADICO.NS,4505.0,31.39,0.78,1.2,True,False,60359.07,Consumer Defensive,29.46,0.21,57.4,12.0,27.8,1
MPSLTD.NS,2837.0,71.24,-1.28,2.91,True,False,4809.0,Communication Services,69.31,0.1,26.5,9.3,7.1,2
SAREGAMA.NS,523.0,49.77,-6.15,-0.29,True,False,10039.48,Communication Services,47.84,0.04,41.1,-8.3,-30.3,2
INDSWFTLAB.NS,295.77,113.49,28.36,22.15,False,True,2568.36,Healthcare,111.56,0.01,41.4,12.6,55.8,3
BETA.NS,2572.0,88.9,2.11,4.83,False,False,2600.05,Healthcare,86.97,0.6,35.2,33.6,65.5,3
SHILPAMED.NS,810.75,77.74,12.33,12.69,False,False,15848.97,Healthcare,75.81,0.25,47.9,6.6,-6.4,3
MOREPENLAB.NS,75.19,71.28,-5.33,4.34,False,False,4117.87,Healthcare,69.35,0.17,56.4,0.1,-44.0,3
SENORES.NS,1471.4,57.72,10.76,5.23,False,False,6772.18,Healthcare,55.79,0.35,40.3,2.9,-17.1,3
GLAND.NS,2903.0,55.07,11.3,8.33,False,False,47841.98,Healthcare,53.14,0.03,48.1,2.8,40.1,3
UNICHEMLAB.NS,551.3,51.35,10.84,4.28,False,False,3875.84,Healthcare,49.42,0.18,28.5,10.4,-95.9,3
IOLCP.NS,159.6,50.98,-2.19,-0.03,True,False,4688.22,Healthcare,49.05,0.08,28.1,6.7,158.6,3
SUVEN.NS,327.85,50.51,0.4,2.23,True,False,9263.82,Healthcare,48.58,0.03,26.5,-45.9,N/A,3
NGLFINE.NS,3415.8,49.85,-0.36,1.78,True,False,2110.29,Healthcare,47.92,0.37,26.8,17.0,-14.1,3
ORCHPHARMA.NS,1054.55,48.81,5.71,2.3,True,False,5348.58,Healthcare,46.88,N/A,121.6,14.6,N/A,3
MARKSANS.NS,293.9,48.14,9.3,7.47,False,True,13361.53,Healthcare,46.21,0.11,47.3,13.5,30.8,3
HESTERBIO.NS,2486.5,43.69,2.19,1.08,True,False,2103.07,Healthcare,41.76,0.53,31.2,-22.8,484.6,3
AKUMS.NS,757.85,43.42,14.38,6.8,False,False,11599.78,Healthcare,41.49,0.06,22.6,0.8,18.1,3
THYROCARE.NS,641.5,35.05,6.92,6.3,False,False,10210.22,Healthcare,33.12,0.09,35.2,7.2,8.1,3
BLUEJET.NS,583.85,31.26,-0.69,-0.83,True,False,10127.78,Healthcare,29.33,0.03,25.9,24.9,21.6,3
PANAMAPET.NS,506.0,76.37,2.23,2.16,True,False,3042.83,Energy,74.44,0.08,23.6,6.2,55.2,4
GANDHAR.NS,236.85,67.82,2.35,0.31,True,False,2316.91,Energy,65.89,0.23,31.8,58.4,372.4,4
DEEPINDS.NS,681.6,48.38,8.71,8.9,False,False,4364.8,Energy,46.45,0.1,31.7,12.1,N/A,4
CHENNPETRO.NS,1386.0,34.9,7.25,5.72,False,False,20639.12,Energy,32.97,0.18,30.0,62.7,-27.5,4
YASHO.NS,4253.1,152.6,2.09,6.51,False,False,5125.92,Basic Materials,150.67,1.26,26.8,25.0,194.0,5
SOTL.NS,687.3,63.66,-12.1,0.63,True,False,4712.16,Basic Materials,61.73,0.0,31.2,21.2,508.0,5
JGCHEM.NS,610.0,57.24,11.26,10.68,False,False,2390.35,Basic Materials,55.31,0.01,29.2,15.2,2.4,5
MBAPL.NS,167.15,52.62,4.21,3.99,True,False,7323.42,Basic Materials,50.69,1.57,13.9,-35.5,88.4,5
FCL.NS,42.07,48.5,8.85,3.35,True,False,4886.25,Basic Materials,46.57,0.01,27.3,20.0,7.9,5
WELCORP.NS,1854.9,40.59,3.74,4.56,False,False,48895.98,Basic Materials,38.66,0.25,48.8,-5.4,182.4,5
AETHER.NS,1623.7,40.49,2.48,3.16,True,False,21553.68,Basic Materials,38.56,0.19,24.8,7.0,17.0,5
TATVA.NS,1741.1,37.23,1.18,0.68,True,False,4076.53,Basic Materials,35.3,0.15,25.8,24.5,54.9,5
KRISHANA.NS,186.76,36.95,4.1,4.69,False,False,5773.46,Basic Materials,35.02,1.31,27.8,14.6,149.4,5
GOCLCORP.NS,432.95,36.56,5.0,3.88,True,False,2145.75,Basic Materials,34.63,0.0,25.0,28.3,-64.3,5
FILATEX.NS,81.9,93.3,0.11,2.62,True,False,3636.84,Consumer Cyclical,91.37,0.1,26.6,16.2,21.1,6
SKYGOLD.NS,817.8,85.99,18.32,11.74,False,False,12677.98,Consumer Cyclical,84.06,0.72,38.3,8.1,4.8,6
BLUESTONE.NS,871.2,80.04,5.68,5.99,False,True,13309.06,Consumer Cyclical,78.11,1.1,48.4,8.1,-77.7,6
DIVGIITTS.NS,1244.9,71.18,24.22,19.52,False,False,3809.87,Consumer Cyclical,69.25,0.0,27.3,18.8,31.4,6
EMIL.NS,192.57,69.62,30.5,22.71,False,False,7396.8,Consumer Cyclical,67.69,1.23,34.9,-1.4,33.8,6
KALYANKJIL.NS,590.4,66.12,-1.27,-0.77,True,False,61051.08,Consumer Cyclical,64.19,0.97,35.1,3.1,-14.7,6
PGIL.NS,2458.9,64.16,10.69,7.54,False,False,11361.95,Consumer Cyclical,62.23,0.66,31.7,16.3,20.6,6
ATHERENERG.NS,1561.0,63.98,7.42,8.58,False,False,62433.68,Consumer Cyclical,62.05,0.26,40.1,3.6,N/A,6
KDDL.NS,3805.9,61.04,2.74,5.49,False,False,4680.98,Consumer Cyclical,59.11,0.27,40.8,-3.6,10.1,6
SANSERA.NS,3811.2,59.67,1.83,4.92,False,False,23790.74,Consumer Cyclical,57.74,0.19,69.2,10.0,76.3,6
RANEHOLDIN.NS,1798.2,57.34,-2.32,0.94,True,False,2577.14,Consumer Cyclical,55.41,0.72,45.2,4.8,N/A,6
HUHTAMAKI.NS,280.7,56.89,-1.2,-1.28,True,False,2120.66,Consumer Cyclical,54.96,0.11,24.3,22.7,70.8,6
SSWL.NS,315.35,53.34,-1.44,1.98,True,False,4956.21,Consumer Cyclical,51.41,0.46,25.0,2.4,14.2,6
ASKAUTOLTD.NS,652.1,53.22,-3.93,6.35,False,False,12848.77,Consumer Cyclical,51.29,0.52,24.0,18.4,19.0,6
TCPLPACK.NS,4256.9,52.17,34.52,25.38,False,True,3868.37,Consumer Cyclical,50.24,0.88,31.9,-2.4,-13.3,6
INDNIPPON.NS,1160.3,50.64,0.68,0.42,True,False,2624.09,Consumer Cyclical,48.71,N/A,29.1,10.2,59.8,6
VARROC.NS,845.05,50.11,14.53,9.93,False,False,12914.6,Consumer Cyclical,48.18,0.51,25.0,3.5,N/A,6
SMLMAH.NS,5204.0,43.52,-8.26,-0.36,True,False,7515.13,Consumer Cyclical,41.59,0.56,18.9,77.6,263.0,6
STOVEKRAFT.NS,795.55,43.43,5.23,0.92,True,False,2632.03,Consumer Cyclical,41.5,0.23,36.2,9.6,35.6,6
RELAXO.NS,434.75,40.08,4.47,3.92,True,False,10811.4,Consumer Cyclical,38.15,0.11,28.6,12.4,156.6,6
GNA.NS,538.7,40.01,1.59,1.48,True,False,2312.68,Consumer Cyclical,38.08,N/A,35.3,14.5,24.1,6
NILKAMAL.NS,1833.7,39.06,3.21,3.56,True,False,2745.47,Consumer Cyclical,37.13,0.26,30.3,-15.1,-41.4,6
STYLAMIND.NS,3536.0,38.55,2.02,0.75,True,False,5996.95,Consumer Cyclical,36.62,0.04,23.6,15.4,26.9,6
NRBBEARING.NS,451.45,38.23,-1.37,1.42,True,False,4375.57,Consumer Cyclical,36.3,0.16,45.7,13.4,44.7,6
SONACOMS.NS,799.25,35.16,0.92,1.45,True,False,49859.29,Consumer Cyclical,33.23,0.07,63.6,3.5,-6.1,6
GABRIEL.NS,1483.9,31.89,-6.54,0.32,True,False,26258.4,Consumer Cyclical,29.96,0.11,18.6,17.9,30.9,6
LUMAXTECH.NS,2041.0,23.77,20.18,14.79,False,False,13910.31,Consumer Cyclical,21.84,0.83,42.8,11.5,6.9,6
UEL.NS,259.47,80.1,5.68,15.13,False,False,3461.27,Technology,78.17,0.27,61.5,-46.3,800.0,7
KERNEX.NS,2308.5,68.01,-5.1,-1.6,True,False,3878.28,Technology,66.08,0.66,59.2,250.7,1027.1,7
RPTECH.NS,858.6,65.72,-4.9,0.06,True,False,5658.15,Technology,63.79,0.49,30.5,13.6,22.1,7
REDINGTON.NS,345.45,64.46,-1.51,2.14,True,False,27014.21,Technology,62.53,0.27,75.8,5.1,24.2,7
AVALON.NS,1972.4,52.76,11.15,5.77,False,False,13173.94,Technology,50.83,0.3,44.4,0.9,-15.3,7
STYL.NS,407.0,51.01,11.87,5.23,False,False,6583.07,Technology,49.08,0.06,13.0,-6.9,-26.3,7
HFCL.NS,217.54,47.21,6.81,4.14,False,True,33304.66,Technology,45.28,0.38,81.2,5.0,23.1,7
NELCO.NS,981.8,45.28,-1.34,0.64,True,False,2239.85,Technology,43.35,0.57,41.3,1.1,112.5,7
SYRMA.NS,1478.3,42.74,4.25,2.73,True,False,28485.38,Technology,40.81,0.13,39.6,8.4,-1.7,7
COFORGE.NS,1804.7,39.13,1.8,2.64,True,False,79901.27,Technology,37.2,0.08,72.8,24.2,-32.2,7
EBGNG.NS,566.05,31.24,7.33,3.81,True,False,6453.05,Technology,29.31,0.59,21.0,-36.7,-31.4,7
RISHABH.NS,656.4,30.89,1.43,1.52,True,False,2534.99,Technology,28.96,0.11,28.5,11.6,-1.5,7
SETL.NS,286.1,107.71,2.91,2.37,True,False,5797.45,Industrials,105.78,0.1,20.0,18.3,3.1,8
SBCL.NS,1034.0,80.22,34.73,13.84,False,False,5954.83,Industrials,78.29,0.15,57.2,21.2,17.0,8
CYIENTDLM.NS,691.45,64.45,4.37,1.76,True,False,5488.84,Industrials,62.52,0.17,47.9,1.3,-27.6,8
UNIVCABLES.NS,1683.9,61.88,18.89,11.7,False,False,5842.7,Industrials,59.95,0.62,28.1,9.4,103.3,8
PARAS.NS,1278.4,61.0,-2.91,0.51,True,False,10296.64,Industrials,59.07,0.04,43.9,-25.3,-38.4,8
QUESS.NS,331.8,59.05,5.5,4.07,False,True,4964.72,Industrials,57.12,0.11,35.9,7.4,27.0,8
BLSE.NS,316.3,58.41,-0.89,3.61,True,False,2867.39,Industrials,56.48,0.01,23.7,15.2,16.5,8
CPPLUS.NS,3886.6,54.37,9.34,6.61,False,False,45960.9,Industrials,52.44,0.1,17.4,24.8,75.7,8
SANGHVIMOV.NS,506.8,53.46,6.87,6.71,False,False,4376.85,Industrials,51.53,0.51,42.5,8.0,-5.2,8
SHREEJISPG.NS,632.1,53.39,-6.12,-1.96,True,False,10294.81,Industrials,51.46,0.36,9.1,-5.0,24.6,8
UNIMECH.NS,1422.9,48.14,6.46,4.56,False,False,7243.35,Industrials,46.21,0.17,20.2,31.6,6.8,8
UNIPARTS.NS,795.25,47.9,1.76,2.23,True,False,3592.19,Industrials,45.97,0.18,33.3,20.6,53.7,8
MARINE.NS,342.85,46.36,12.23,9.6,False,False,4542.46,Industrials,44.43,0.18,33.0,32.0,56.5,8
RRKABEL.NS,2791.6,45.24,-0.05,4.02,False,True,31572.27,Industrials,43.31,0.13,24.2,6.9,22.2,8
ADOR.NS,1473.2,39.89,-2.31,-0.68,True,False,2563.09,Industrials,37.96,0.0,35.7,-3.0,-19.4,8
VINDHYATEL.NS,2533.3,39.61,7.46,11.69,False,False,3007.39,Industrials,37.68,0.34,43.2,40.9,N/A,8
HAPPYFORGE.NS,2006.5,38.86,10.43,10.1,False,False,18922.94,Industrials,36.93,0.15,19.1,6.0,9.5,8
APARINDS.NS,17290.0,38.78,10.37,9.82,False,False,69461.58,Industrials,36.85,0.18,40.6,-0.1,84.3,8
DYCL.NS,453.25,37.89,11.91,8.15,False,False,2196.87,Industrials,35.96,0.09,30.5,-1.8,3.2,8
MMFL.NS,645.5,36.3,13.14,7.84,False,False,3116.58,Industrials,34.37,1.27,38.9,4.1,154.7,8
INDOTECH.NS,3579.9,31.13,-0.76,-0.89,True,False,3801.11,Industrials,29.2,0.01,23.8,21.7,-3.9,8
TDPOWERSYS.NS,1488.0,27.52,21.2,19.07,False,False,23245.23,Industrials,25.59,0.02,65.7,33.1,28.3,8
FINCABLES.NS,1299.05,21.01,25.54,18.42,False,False,19881.35,Industrials,19.08,0.0,40.7,22.0,36.7,8
TFCILTD.NS,115.31,52.02,4.06,5.42,False,False,5338.59,Financial Services,50.09,0.82,47.4,7.4,91.3,9
TMB.NS,864.25,30.26,-1.05,0.11,True,False,13687.9,Financial Services,28.33,N/A,69.3,6.0,10.1,9
